+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                     ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                 ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; NiosII|rsp_xbar_mux|arb                                                                                                                                                   ; 8     ; 0              ; 4            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_mux                                                                                                                                                       ; 479   ; 0              ; 0            ; 0              ; 123    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_008                                                                                                                                                 ; 95    ; 1              ; 2            ; 1              ; 93     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_007                                                                                                                                                 ; 122   ; 1              ; 2            ; 1              ; 120    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_006                                                                                                                                                 ; 122   ; 1              ; 2            ; 1              ; 120    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_005                                                                                                                                                 ; 106   ; 9              ; 2            ; 9              ; 304    ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_004                                                                                                                                                 ; 122   ; 1              ; 2            ; 1              ; 120    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_003                                                                                                                                                 ; 123   ; 4              ; 2            ; 4              ; 239    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_002                                                                                                                                                 ; 105   ; 4              ; 2            ; 4              ; 203    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux_001                                                                                                                                                 ; 123   ; 4              ; 2            ; 4              ; 239    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rsp_xbar_demux                                                                                                                                                     ; 123   ; 4              ; 2            ; 4              ; 239    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_005|arb|adder                                                                                                                                         ; 12    ; 3              ; 0            ; 3              ; 6      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_005|arb                                                                                                                                               ; 7     ; 0              ; 1            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_005                                                                                                                                                   ; 306   ; 0              ; 0            ; 0              ; 104    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_003|arb|adder                                                                                                                                         ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_003|arb                                                                                                                                               ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_003                                                                                                                                                   ; 241   ; 0              ; 0            ; 0              ; 121    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_002|arb|adder                                                                                                                                         ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_002|arb                                                                                                                                               ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_002                                                                                                                                                   ; 205   ; 0              ; 0            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_001|arb|adder                                                                                                                                         ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_001|arb                                                                                                                                               ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux_001                                                                                                                                                   ; 241   ; 0              ; 0            ; 0              ; 121    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux|arb|adder                                                                                                                                             ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux|arb                                                                                                                                                   ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_mux                                                                                                                                                       ; 241   ; 0              ; 0            ; 0              ; 121    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_demux_003                                                                                                                                                 ; 104   ; 1              ; 2            ; 1              ; 102    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_demux_002                                                                                                                                                 ; 104   ; 1              ; 2            ; 1              ; 102    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_demux_001                                                                                                                                                 ; 130   ; 81             ; 2            ; 81             ; 1072   ; 81              ; 81            ; 81              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|cmd_xbar_demux                                                                                                                                                     ; 125   ; 16             ; 2            ; 16             ; 477    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rst_controller_002|alt_rst_sync_uq1                                                                                                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rst_controller_002                                                                                                                                                 ; 17    ; 14             ; 0            ; 14             ; 1      ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rst_controller_001|alt_rst_sync_uq1                                                                                                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rst_controller_001                                                                                                                                                 ; 17    ; 14             ; 0            ; 14             ; 1      ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rst_controller|alt_rst_sync_uq1                                                                                                                                    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|rst_controller                                                                                                                                                     ; 17    ; 14             ; 0            ; 14             ; 2      ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|burst_adapter_002|altera_merlin_burst_adapter_uncompressed_only.the_ba                                                                                             ; 95    ; 3              ; 5            ; 3              ; 93     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|burst_adapter_002                                                                                                                                                  ; 95    ; 0              ; 0            ; 0              ; 93     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|burst_adapter_001|altera_merlin_burst_adapter_uncompressed_only.the_ba                                                                                             ; 104   ; 3              ; 5            ; 3              ; 102    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|burst_adapter_001                                                                                                                                                  ; 104   ; 0              ; 0            ; 0              ; 102    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|burst_adapter|altera_merlin_burst_adapter_uncompressed_only.the_ba                                                                                                 ; 104   ; 3              ; 5            ; 3              ; 102    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|burst_adapter                                                                                                                                                      ; 104   ; 0              ; 0            ; 0              ; 102    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_008|the_default_decode                                                                                                                                   ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_008                                                                                                                                                      ; 86    ; 0              ; 2            ; 0              ; 93     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_007|the_default_decode                                                                                                                                   ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_007                                                                                                                                                      ; 113   ; 0              ; 2            ; 0              ; 120    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_006|the_default_decode                                                                                                                                   ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_006                                                                                                                                                      ; 113   ; 0              ; 2            ; 0              ; 120    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_005|the_default_decode                                                                                                                                   ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_005                                                                                                                                                      ; 95    ; 0              ; 2            ; 0              ; 102    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_004|the_default_decode                                                                                                                                   ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_004                                                                                                                                                      ; 113   ; 0              ; 2            ; 0              ; 120    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_003|the_default_decode                                                                                                                                   ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_003                                                                                                                                                      ; 113   ; 0              ; 2            ; 0              ; 120    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_002|the_default_decode                                                                                                                                   ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_002                                                                                                                                                      ; 95    ; 0              ; 2            ; 0              ; 102    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_001|the_default_decode                                                                                                                                   ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router_001                                                                                                                                                      ; 113   ; 0              ; 2            ; 0              ; 120    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router|the_default_decode                                                                                                                                       ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|id_router                                                                                                                                                          ; 113   ; 0              ; 2            ; 0              ; 120    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|addr_router_003|the_default_decode                                                                                                                                 ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|addr_router_003                                                                                                                                                    ; 95    ; 13             ; 6            ; 13             ; 102    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|addr_router_002|the_default_decode                                                                                                                                 ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|addr_router_002                                                                                                                                                    ; 95    ; 13             ; 6            ; 13             ; 102    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|addr_router_001|the_default_decode                                                                                                                                 ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|addr_router_001                                                                                                                                                    ; 113   ; 0              ; 6            ; 0              ; 120    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|addr_router|the_default_decode                                                                                                                                     ; 0     ; 13             ; 0            ; 13             ; 13     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|addr_router                                                                                                                                                        ; 113   ; 0              ; 6            ; 0              ; 120    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0_avalon_char_buffer_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                      ; 126   ; 39             ; 0            ; 39             ; 85     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0_avalon_char_buffer_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                  ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0_avalon_char_buffer_slave_translator_avalon_universal_slave_0_agent                                                               ; 205   ; 13             ; 22           ; 13             ; 227    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0_avalon_char_control_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                     ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0_avalon_char_control_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                 ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0_avalon_char_control_slave_translator_avalon_universal_slave_0_agent                                                              ; 307   ; 39             ; 46           ; 39             ; 334    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|buffer_dma_avalon_control_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                 ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|buffer_dma_avalon_control_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                                             ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|buffer_dma_avalon_control_slave_translator_avalon_universal_slave_0_agent                                                                                          ; 307   ; 39             ; 46           ; 39             ; 334    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_buffer_avalon_sram_slave_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                ; 63    ; 41             ; 0            ; 41             ; 20     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_buffer_avalon_sram_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                  ; 135   ; 39             ; 0            ; 39             ; 94     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_buffer_avalon_sram_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                                              ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_buffer_avalon_sram_slave_translator_avalon_universal_slave_0_agent                                                                                           ; 239   ; 22             ; 30           ; 22             ; 263    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                   ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                                               ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent                                                                                            ; 307   ; 39             ; 46           ; 39             ; 334    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_drawer_0_avalon_slave_0_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                   ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_drawer_0_avalon_slave_0_translator_avalon_universal_slave_0_agent|uncompressor                                                                               ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_drawer_0_avalon_slave_0_translator_avalon_universal_slave_0_agent                                                                                            ; 307   ; 39             ; 46           ; 39             ; 334    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                                      ; 63    ; 41             ; 0            ; 41             ; 20     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                        ; 135   ; 39             ; 0            ; 39             ; 94     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                    ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator_avalon_universal_slave_0_agent                                                                                                                 ; 239   ; 22             ; 30           ; 22             ; 263    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|onchip_memory2_0_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                             ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|onchip_memory2_0_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                         ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|onchip_memory2_0_s1_translator_avalon_universal_slave_0_agent                                                                                                      ; 307   ; 39             ; 46           ; 39             ; 334    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                  ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor                                                                              ; 48    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_jtag_debug_module_translator_avalon_universal_slave_0_agent                                                                                           ; 307   ; 39             ; 46           ; 39             ; 334    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_drawer_0_avalon_master_translator_avalon_universal_master_0_agent                                                                                            ; 161   ; 37             ; 82           ; 37             ; 111    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|buffer_dma_avalon_pixel_dma_master_translator_avalon_universal_master_0_agent                                                                                      ; 161   ; 37             ; 82           ; 37             ; 111    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_data_master_translator_avalon_universal_master_0_agent                                                                                                ; 198   ; 37             ; 87           ; 37             ; 145    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_instruction_master_translator_avalon_universal_master_0_agent                                                                                         ; 198   ; 37             ; 87           ; 37             ; 145    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0_avalon_char_buffer_slave_translator                                                                                              ; 63    ; 6              ; 19           ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|video_character_buffer_with_dma_0_avalon_char_control_slave_translator                                                                                             ; 116   ; 7              ; 31           ; 7              ; 74     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|buffer_dma_avalon_control_slave_translator                                                                                                                         ; 116   ; 7              ; 30           ; 7              ; 74     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_buffer_avalon_sram_slave_translator                                                                                                                          ; 81    ; 6              ; 14           ; 6              ; 56     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|jtag_uart_0_avalon_jtag_slave_translator                                                                                                                           ; 116   ; 6              ; 34           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_drawer_0_avalon_slave_0_translator                                                                                                                           ; 116   ; 7              ; 29           ; 7              ; 71     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|sdram_s1_translator                                                                                                                                                ; 81    ; 5              ; 10           ; 5              ; 61     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|onchip_memory2_0_s1_translator                                                                                                                                     ; 116   ; 8              ; 22           ; 8              ; 83     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_qsys_0_jtag_debug_module_translator                                                                                                                          ; 116   ; 6              ; 23           ; 6              ; 82     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|pixel_drawer_0_avalon_master_translator                                                                                                                            ; 83    ; 13             ; 0            ; 13             ; 73     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|buffer_dma_avalon_pixel_dma_master_translator                                                                                                                      ; 83    ; 32             ; 2            ; 32             ; 74     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
